match_id,team_id,matches,possessions,passes,completed_passes,carries,shots,goals,statsbomb_xg,non_penalty_xg,open_play_xg,set_piece_xg,xt_added,positive_xt,negative_xt,progressive_passes,progressive_carries,final_third_entries,box_entries,final_third_possession_entries,box_possession_entries,xg_per_shot,xt_per_possession,progressive_passes_per_100_passes,progressive_carries_per_100_possessions,final_third_entries_per_possession,box_entries_per_possession
3857291,795,1,85,250,176,173,0,0,,,,,0.4440327816425679,1.9158640655654064,-1.4718312839228391,9,6,39,12,32,10,,0.005223915078147857,3.5999999999999996,7.0588235294117645,0.4588235294117647,0.1411764705882353
3857292,770,1,104,766,670,615,31,4,4.316106397,4.316106397,1.30309548,1.882677991,5.156041334409229,11.678409755676004,-6.522368421266775,49,32,127,83,73,60,0.13922923861290323,0.049577320523165665,6.396866840731071,30.76923076923077,1.2211538461538463,0.7980769230769231
3857292,795,1,105,374,288,290,7,2,1.0347440669999999,1.0347440669999999,0.5790966,0.45564746700000003,1.864511922487249,3.69908197894668,-1.8345700564594307,11,7,51,19,41,17,0.14782058099999998,0.017757256404640466,2.941176470588235,6.666666666666667,0.4857142857142857,0.18095238095238095
3857293,783,1,116,469,367,336,12,2,1.6365584506000002,1.6365584506000002,1.2796089200000003,0.35694953060000006,2.492324616992666,4.947580590496142,-2.4552559735034762,22,13,71,40,54,34,0.13637987088333334,0.021485557043040223,4.690831556503198,11.206896551724139,0.6120689655172413,0.3448275862068966
3857293,4885,1,114,493,387,420,9,0,1.3926941409999998,0.609194141,0.16336988,0.445824261,1.9988558387135673,5.040686839254551,-3.0418310005409834,11,20,78,39,51,32,0.15474379344444442,0.01753382314661024,2.231237322515213,17.543859649122805,0.6842105263157895,0.34210526315789475
3857294,941,1,92,832,751,676,13,2,1.7139532729999998,1.7139532729999998,0.28850850699999997,1.384311996,2.779007530293704,8.933421968644955,-6.154414438351251,24,11,112,30,55,27,0.13184255946153844,0.030206603590148956,2.8846153846153846,11.956521739130435,1.2173913043478262,0.32608695652173914
3857294,3566,1,98,486,403,379,5,0,0.143716575,0.143716575,0.040208539,0.10350803600000001,1.136709047584217,4.715866247728395,-3.579157200144178,11,25,52,24,34,20,0.028743315000000002,0.011599071914124664,2.263374485596708,25.510204081632654,0.5306122448979592,0.24489795918367346
3857295,778,1,101,619,531,551,13,0,0.773533495,0.773533495,0.14090186700000001,0.483883446,2.2615382554171575,6.787307171852894,-4.525768916435736,24,20,91,41,57,34,0.05950257653846154,0.0223914678754174,3.877221324717286,19.801980198019802,0.900990099009901,0.40594059405940597
3857295,795,1,94,470,380,372,4,1,0.199368384,0.199368384,0.18583143400000002,0.01353695,0.8996655722360367,3.0680247739042805,-2.1683592016682445,13,4,43,17,33,13,0.049842096,0.009570910342936561,2.7659574468085104,4.25531914893617,0.4574468085106383,0.18085106382978725
3857296,782,1,89,630,546,510,16,0,2.3818400918,2.3818400918,1.007971462,0.8814387098,2.5560280717300063,6.590784121124145,-4.034756049394139,18,21,70,40,46,30,0.1488650057375,0.028719416536292206,2.857142857142857,23.595505617977526,0.7865168539325843,0.449438202247191
3857296,785,1,97,609,517,479,11,0,0.695021896,0.695021896,0.126554695,0.454889161,2.439622189850373,7.167691457287995,-4.728069267437622,19,31,67,49,48,37,0.06318380872727272,0.02515074422526158,3.1198686371100166,31.958762886597935,0.6907216494845361,0.5051546391752577
